#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
SLDT         ; Mw          ; LDTR                    ;            0x0F 0x00 /0:mem        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
SLDT         ; Rv          ; LDTR                    ;            0x0F 0x00 /0:reg        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
STR          ; Mw          ; TR                      ;            0x0F 0x00 /1:mem        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
STR          ; Rv          ; TR                      ;            0x0F 0x00 /1:reg        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
LLDT         ; Ew          ; LDTR                    ;            0x0F 0x00 /2            ; s:I286PROT, t:SYSTEM, w:R|W, a:SERIAL, m:KERNEL|NOREAL
LTR          ; Ew          ; TR                      ;            0x0F 0x00 /3            ; s:I286PROT, t:SYSTEM, w:R|W, a:SERIAL, m:KERNEL|NOREAL
VERR         ; Ew          ; Fv                      ;            0x0F 0x00 /4            ; s:I286PROT, t:SYSTEM, w:R|W, f:ZF=m, m:NOREAL
VERW         ; Ew          ; Fv                      ;            0x0F 0x00 /5            ; s:I286PROT, t:SYSTEM, w:R|W, f:ZF=m, m:NOREAL
JMPE         ; Ev          ; rIP                     ;         NP 0x0F 0x00 /6            ; s:I64, t:SYSTEM, w:R|W, m:NO64 
LKGS         ; Mw          ; KGSBASE                 ;       0xF2 0x0F 0x00 /6:mem        ; s:LKGS, t:LKGS, w:R|W, m:KERNEL|O64|NOSGX
LKGS         ; Rv          ; KGSBASE                 ;       0xF2 0x0F 0x00 /6:reg        ; s:LKGS, t:LKGS, w:R|W, m:KERNEL|O64|NOSGX
SGDT         ; Ms          ; GDTR                    ;            0x0F 0x01 /0:mem        ; s:I286REAL, t:SYSTEM, w:W|R, m:NOSGX
SIDT         ; Ms          ; IDTR                    ;            0x0F 0x01 /1:mem        ; s:I286REAL, t:SYSTEM, w:W|R, m:NOSGX
LGDT         ; Ms          ; GDTR                    ;            0x0F 0x01 /2:mem        ; s:I286REAL, t:SYSTEM, w:R|W, a:SERIAL, m:KERNEL
LIDT         ; Ms          ; IDTR                    ;            0x0F 0x01 /3:mem        ; s:I286REAL, t:SYSTEM, w:R|W, a:SERIAL, m:KERNEL
SMSW         ; Mw          ; CR0                     ;            0x0F 0x01 /4:mem        ; s:I286REAL, t:SYSTEM, w:W|R, m:NOSGX
SMSW         ; Rv          ; CR0                     ;            0x0F 0x01 /4:reg        ; s:I286REAL, t:SYSTEM, w:W|R, m:NOSGX
LMSW         ; Ew          ; CR0                     ;            0x0F 0x01 /6            ; s:I286REAL, t:SYSTEM, w:R|W, a:SERIAL, m:KERNEL
INVLPG       ; Mb          ; n/a                     ;            0x0F 0x01 /7:mem        ; s:I486REAL, t:SYSTEM, w:R, a:AG, m:KERNEL|NOV86
RSTORSSP     ; Mq          ; SSP                     ;       0xF3 0x0F 0x01 /5:mem        ; s:CET_SS, t:CET, a:SHS, w:RW|RW, f:CF=m|ZF=0|PF=0|AF=0|OF=0|SF=0
ENCLV        ; n/a         ; EAX,RBX,RCX,RDX         ;         NP 0x0F 0x01 /0xC0         ; s:SGX, t:SGX, w:R|CRW|CRW|CRW, m:KERNEL|NOSMM|NOTSX|VMX
VMCALL       ; n/a         ; n/a                     ;         NP 0x0F 0x01 /0xC1         ; s:VTX, t:VTX, m:VMX|NOTSX|NOSGX
VMLAUNCH     ; n/a         ; Fv                      ;         NP 0x0F 0x01 /0xC2         ; s:VTX, t:VTX, w:W, f:VMX, m:VMXROOT
VMRESUME     ; n/a         ; Fv                      ;         NP 0x0F 0x01 /0xC3         ; s:VTX, t:VTX, w:W, f:VMX, m:VMXROOT
VMXOFF       ; n/a         ; Fv                      ;         NP 0x0F 0x01 /0xC4         ; s:VTX, t:VTX, w:W, f:VMX, m:VMXROOT
PCONFIG      ; n/a         ; EAX,RBX,RCX,RDX         ;         NP 0x0F 0x01 /0xC5         ; s:PCONFIG, t:PCONFIG, w:R|RW|RW|RW, m:NOV86
WRMSRNS      ; n/a         ; EAX,EDX,ECX,MSR         ;         NP 0x0F 0x01 /0xC6         ; s:WRMSRNS, t:SYSTEM, w:R|R|R|W, m:KERNEL
WRMSRLIST    ; n/a         ; SMT,DMT,ECX             ;       0xF3 0x0F 0x01 /0xC6         ; s:MSRLIST, t:SYSTEM, w:R|R|RW, m:KERNEL|O64
RDMSRLIST    ; n/a         ; SMT,DMT,ECX             ;       0xF2 0x0F 0x01 /0xC6         ; s:MSRLIST, t:SYSTEM, w:R|W|RW, m:KERNEL|O64
MONITOR      ; n/a         ; pAXb,ECX,EDX            ;         NP 0x0F 0x01 /0xC8         ; s:SSE3, t:MISC, w:R|R|R, i:MONITOR, m:KERNEL|NOV86
MWAIT        ; n/a         ; EAX,ECX                 ;         NP 0x0F 0x01 /0xC9         ; s:SSE3, t:MISC, w:RW|R, i:MONITOR, m:KERNEL|NOV86
