#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
PSHUFB            ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x00 /r        ; s:SSSE3, t:MMX, w:RW|R
PSHUFB            ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x00 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PHADDW            ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x01 /r        ; s:SSSE3, t:MMX, w:RW|R
PHADDW            ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x01 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PHADDD            ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x02 /r        ; s:SSSE3, t:MMX, w:RW|R
PHADDD            ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x02 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PHADDSW           ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x03 /r        ; s:SSSE3, t:MMX, w:RW|R
PHADDSW           ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x03 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PMADDUBSW         ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x04 /r        ; s:SSSE3, t:MMX, w:RW|R
PMADDUBSW         ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x04 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PHSUBW            ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x05 /r        ; s:SSSE3, t:MMX, w:RW|R
PHSUBW            ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x05 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PHSUBD            ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x06 /r        ; s:SSSE3, t:MMX, w:RW|R
PHSUBD            ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x06 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PHSUBSW           ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x07 /r        ; s:SSSE3, t:MMX, w:RW|R
PHSUBSW           ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x07 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PSIGNB            ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x08 /r        ; s:SSSE3, t:MMX, w:RW|R
PSIGNB            ; Vx,Wx               ; n/a             ;         0x66 0x0F 0x38 0x08 /r        ; s:SSSE3, t:SSE, w:RW|R, e:4
PSIGNW            ; Pq,Qq               ; n/a             ;           NP 0x0F 0x38 0x09 /r        ; s:SSSE3, t:MMX, w:RW|R
