#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
ROUNDPS           ; Vx,Wx,Ib            ; n/a             ;         0x66 0x0F 0x3A 0x08 /r ib     ; s:SSE4, t:SSE, w:W|R|R, e:2
ROUNDPD           ; Vx,Wx,Ib            ; n/a             ;         0x66 0x0F 0x3A 0x09 /r ib     ; s:SSE4, t:SSE, w:W|R|R, e:2
ROUNDSS           ; Vss,Wss,Ib          ; n/a             ;         0x66 0x0F 0x3A 0x0A /r ib     ; s:SSE4, t:SSE, w:W|R|R, e:3
ROUNDSD           ; Vsd,Wsd,Ib          ; n/a             ;         0x66 0x0F 0x3A 0x0B /r ib     ; s:SSE4, t:SSE, w:W|R|R, e:3
BLENDPS           ; Vx,Wx,Ib            ; n/a             ;         0x66 0x0F 0x3A 0x0C /r ib     ; s:SSE4, t:SSE, w:RW|R|R, e:4
BLENDPD           ; Vx,Wx,Ib            ; n/a             ;         0x66 0x0F 0x3A 0x0D /r ib     ; s:SSE4, t:SSE, w:RW|R|R, e:4
PBLENDW           ; Vx,Wx,Ib            ; n/a             ;         0x66 0x0F 0x3A 0x0E /r ib     ; s:SSE4, t:SSE, w:RW|R|R, e:4
PALIGNR           ; Pq,Qq,Ib            ; n/a             ;           NP 0x0F 0x3A 0x0F /r ib     ; s:SSSE3, t:MMX, w:RW|R|R
PALIGNR           ; Vx,Wx,Ib            ; n/a             ;         0x66 0x0F 0x3A 0x0F /r ib     ; s:SSSE3, t:SSE, w:RW|R|R, e:4

# 0x10 - 0x1F
# TODO: for PEXTRx, a smaller size is accessed, in fact.
PEXTRB            ; Mb,Vdq,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x14 /r:mem ib ; s:SSE4, t:SSE, w:W|R|R, e:5
PEXTRB            ; Ry,Vdq,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x14 /r:reg ib ; s:SSE4, t:SSE, w:W|R|R, e:5, a:D64
PEXTRW            ; Mw,Vdq,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x15 /r:mem ib ; s:SSE4, t:SSE, w:W|R|R, e:5
PEXTRW            ; Ry,Vdq,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x15 /r:reg ib ; s:SSE4, t:SSE, w:W|R|R, e:5, a:D64
PEXTRD            ; Md,Vdq,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x16 /r:mem ib ; s:SSE4, t:SSE, w:W|R|R, e:5
PEXTRD            ; Ry,Vdq,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x16 /r:reg ib ; s:SSE4, t:SSE, w:W|R|R, e:5, a:D64
PEXTRQ            ; Mq,Vdq,Ib           ; n/a             ;    rexw 0x66 0x0F 0x3A 0x16 /r:mem ib ; s:SSE4, t:SSE, w:W|R|R, e:5
PEXTRQ            ; Ry,Vdq,Ib           ; n/a             ;    rexw 0x66 0x0F 0x3A 0x16 /r:reg ib ; s:SSE4, t:SSE, w:W|R|R, e:5
EXTRACTPS         ; Ed,Vdq,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x17 /r ib     ; s:SSE4, t:SSE, w:W|R|R, e:5

# 0x20 - 0x2F
PINSRB            ; Vdq,Mb,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x20 /r:mem ib ; s:SSE4, t:SSE, w:RW|R|R, e:5
PINSRB            ; Vdq,Ry,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x20 /r:reg ib ; s:SSE4, t:SSE, w:RW|R|R, e:5
INSERTPS          ; Vdq,Md,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x21 /r:mem ib ; s:SSE4, t:SSE, w:RW|R|R, e:5
INSERTPS          ; Vdq,Udq,Ib          ; n/a             ;         0x66 0x0F 0x3A 0x21 /r:reg ib ; s:SSE4, t:SSE, w:RW|R|R, e:5
PINSRD            ; Vdq,Ed,Ib           ; n/a             ;         0x66 0x0F 0x3A 0x22 /r ib     ; s:SSE4, t:SSE, w:RW|R|R, e:5
PINSRQ            ; Vdq,Eq,Ib           ; n/a             ;    rexw 0x66 0x0F 0x3A 0x22 /r ib     ; s:SSE4, t:SSE, w:RW|R|R, e:5

# 0x30 - 0x3F

# 0x40 - 0x4F
DPPS              ; Vx,Wx,Ib            ; n/a             ;         0x66 0x0F 0x3A 0x40 /r ib     ; s:SSE4, t:SSE, w:RW|R|R, e:2
DPPD              ; Vdq,Wdq,Ib          ; n/a             ;         0x66 0x0F 0x3A 0x41 /r ib     ; s:SSE4, t:SSE, w:RW|R|R, e:2
MPSADBW           ; Vdq,Wdq,Ib          ; n/a             ;         0x66 0x0F 0x3A 0x42 /r ib     ; s:SSE4, t:SSE, w:RW|R|R, e:4
PCLMULQDQ         ; Vdq,Wdq,Ib          ; n/a             ;         0x66 0x0F 0x3A 0x44 /r ib     ; s:PCLMULQDQ, t:PCLMULQDQ, w:RW|R|R, e:4

# 0x50 - 0x5F

# 0x60 - 0x6F
PCMPESTRM         ; Vdq,Wdq,Ib          ; yAX,yDX,XMM0,Fv ;         0x66 0x0F 0x3A 0x60 /r ib     ; s:SSE42, t:SSE, w:R|R|R|R|R|W|W, f:PCMPSTR, e:4
PCMPESTRI         ; Vdq,Wdq,Ib          ; yAX,yDX,yCX,Fv  ;         0x66 0x0F 0x3A 0x61 /r ib     ; s:SSE42, t:SSE, w:R|R|R|R|R|W|W, f:PCMPSTR, e:4
PCMPISTRM         ; Vdq,Wdq,Ib          ; XMM0,Fv         ;         0x66 0x0F 0x3A 0x62 /r ib     ; s:SSE42, t:SSE, w:R|R|R|W|W, f:PCMPSTR, e:4
