#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
ADD          ; Eb,Gb       ; Fv                ;            0x00 /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH, p:HLE|LOCK
ADD          ; Ev,Gv       ; Fv                ;            0x01 /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH, p:HLE|LOCK
ADD          ; Gb,Eb       ; Fv                ;            0x02 /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH
ADD          ; Gv,Ev       ; Fv                ;            0x03 /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH
ADD          ; AL,Ib       ; Fv                ;            0x04 ib        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH
ADD          ; rAX,Iz      ; Fv                ;            0x05 iz        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH, a:OP2SEXO1
PUSH         ; ES          ; Kv                ;            0x06           ; s:I86, t:PUSH, w:R|W, m:NO64|NOSGX
POP          ; ES          ; Kv                ;            0x07           ; s:I86, t:POP, w:W|R, m:NO64|NOSGX
OR           ; Eb,Gb       ; Fv                ;            0x08 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, p:HLE|LOCK
OR           ; Ev,Gv       ; Fv                ;            0x09 /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, p:HLE|LOCK
OR           ; Gb,Eb       ; Fv                ;            0x0A /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
OR           ; Gv,Ev       ; Fv                ;            0x0B /r        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
OR           ; AL,Ib       ; Fv                ;            0x0C ib        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC
OR           ; rAX,Iz      ; Fv                ;            0x0D iz        ; s:I86, t:LOGIC, w:RW|R|W, f:LOGIC, a:OP2SEXO1
PUSH         ; CS          ; Kv                ;            0x0E           ; s:I86, t:PUSH, w:R|W, m:NO64|NOSGX

# 0x10 - 0x1F
ADC          ; Eb,Gb       ; Fv                ;            0x10 /r        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, p:HLE|LOCK
ADC          ; Ev,Gv       ; Fv                ;            0x11 /r        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, p:HLE|LOCK
ADC          ; Gb,Eb       ; Fv                ;            0x12 /r        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC
ADC          ; Gv,Ev       ; Fv                ;            0x13 /r        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC
ADC          ; AL,Ib       ; Fv                ;            0x14 ib        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC
ADC          ; rAX,Iz      ; Fv                ;            0x15 iz        ; s:I86, t:ARITH, w:RW|R|RW, f:ARITHC, a:OP2SEXO1
