#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x10 - 0x1F
VMOVUPS           ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:0 l:x w:0 0x10 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R
VMOVUPD           ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:1 l:x w:1 0x10 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R
VMOVSS            ; Vdq{K}{z},Mss               ; n/a     ; evex m:1 p:2 l:i w:0 0x10 /r:mem        ; s:AVX512F, t:DATAXFER, l:t1s, e:E10, w:W|R|R
VMOVSS            ; Vdq{K}{z},Hdq,Udq           ; n/a     ; evex m:1 p:2 l:i w:0 0x10 /r:reg        ; s:AVX512F, t:DATAXFER, l:t1s, e:E10, w:W|R|R|R
VMOVSD            ; Vdq{K}{z},Msd               ; n/a     ; evex m:1 p:3 l:i w:1 0x10 /r:mem        ; s:AVX512F, t:DATAXFER, l:t1s, e:E10, w:W|R|R
VMOVSD            ; Vdq{K}{z},Hdq,Udq           ; n/a     ; evex m:1 p:3 l:i w:1 0x10 /r:reg        ; s:AVX512F, t:DATAXFER, l:t1s, e:E10, w:W|R|R|R
VMOVUPS           ; Wfv{K}{z},Vfv               ; n/a     ; evex m:1 p:0 l:x w:0 0x11 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R
VMOVUPD           ; Wfv{K}{z},Vfv               ; n/a     ; evex m:1 p:1 l:x w:1 0x11 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4nb, w:W|R|R
VMOVSS            ; Mss{K},Vdq                  ; n/a     ; evex m:1 p:2 l:i w:0 0x11 /r:mem        ; s:AVX512F, t:DATAXFER, l:t1s, e:E10, w:W|R|R
VMOVSS            ; Udq{K}{z},Hdq,Vdq           ; n/a     ; evex m:1 p:2 l:i w:0 0x11 /r:reg        ; s:AVX512F, t:DATAXFER, l:t1s, e:E10, w:W|R|R|R
VMOVSD            ; Msd{K},Vdq                  ; n/a     ; evex m:1 p:3 l:i w:1 0x11 /r:mem        ; s:AVX512F, t:DATAXFER, l:t1s, e:E10, w:W|R|R
VMOVSD            ; Udq{K}{z},Hdq,Vdq           ; n/a     ; evex m:1 p:3 l:i w:1 0x11 /r:reg        ; s:AVX512F, t:DATAXFER, l:t1s, e:E10, w:W|R|R|R
VMOVLPS           ; Vdq,Hdq,Mq                  ; n/a     ; evex m:1 p:0 l:0 w:0 0x12 /r:mem        ; s:AVX512F, t:DATAXFER, l:t2, e:E9NF, w:W|R|R
VMOVHLPS          ; Vdq,Hdq,Udq                 ; n/a     ; evex m:1 p:0 l:0 w:0 0x12 /r:reg        ; s:AVX512F, t:DATAXFER, e:E7NM, w:W|R|R
VMOVLPD           ; Vdq,Hdq,Mq                  ; n/a     ; evex m:1 p:1 l:0 w:1 0x12 /r:mem        ; s:AVX512F, t:DATAXFER, l:t1s, e:E9NF, w:W|R|R
VMOVSLDUP         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:1 p:2 l:x w:0 0x12 /r            ; s:AVX512F, t:DATAXFER, l:fvm, e:E4NFnb, w:W|R|R
VMOVDDUP          ; Vdq{K}{z},Wq                ; n/a     ; evex m:1 p:3 l:0 w:1 0x12 /r            ; s:AVX512F, t:DATAXFER, l:dup, e:E5NF, w:W|R|R
VMOVDDUP          ; Vqq{K}{z},Wqq               ; n/a     ; evex m:1 p:3 l:1 w:1 0x12 /r            ; s:AVX512F, t:DATAXFER, l:dup, e:E5NF, w:W|R|R
VMOVDDUP          ; Voq{K}{z},Woq               ; n/a     ; evex m:1 p:3 l:2 w:1 0x12 /r            ; s:AVX512F, t:DATAXFER, l:dup, e:E5NF, w:W|R|R
VMOVLPS           ; Mq,Vdq                      ; n/a     ; evex m:1 p:0 l:0 w:0 0x13 /r:mem        ; s:AVX512F, t:DATAXFER, l:t2, e:E9NF, w:W|R
VMOVLPD           ; Mq,Vdq                      ; n/a     ; evex m:1 p:1 l:0 w:1 0x13 /r:mem        ; s:AVX512F, t:DATAXFER, l:t1s, e:E9NF, w:W|R
VUNPCKLPS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:1 p:0 l:x w:0 0x14 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VUNPCKLPD         ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:1 p:1 l:x w:1 0x14 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
