#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPSHUFB           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x00 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPMADDUBSW        ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x04 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VPMULHRSW         ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x0B /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPERMILPS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x0C /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPERMILPD         ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x0D /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R

# 0x10 - 0x1F
VPSRLVW           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x10 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VPSRAVW           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x11 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4, w:W|R|R|R
VPSLLVW           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x12 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4nb, w:W|R|R|R
VCVTPH2PS         ; Vfv{K}{z},Whv{sae}          ; n/a     ; evex m:2 p:1 l:x w:0 0x13 /r            ; s:AVX512F, t:CONVERT, l:hvm, e:E11, w:W|R|R
VPRORVD           ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x14 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
VPRORVQ           ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x14 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4, w:W|R|R|R
