#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPERMQ            ; Vuv{K}{z},Wuv|B64,Ib        ; n/a     ; evex m:3 p:1 l:x w:1 0x00 /r ib         ; s:AVX512F, t:AVX512, a:NOL0, l:fv, e:E4NF, w:W|R|R|R
VPERMPD           ; Vuv{K}{z},Wuv|B64,Ib        ; n/a     ; evex m:3 p:1 l:x w:1 0x01 /r ib         ; s:AVX512F, t:AVX512, a:NOL0, l:fv, e:E4NF, w:W|R|R|R
VALIGND           ; Vfv{K}{z},Hfv,Wfv|B32,Ib    ; n/a     ; evex m:3 p:1 l:x w:0 0x03 /r ib         ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R|R
VALIGNQ           ; Vfv{K}{z},Hfv,Wfv|B64,Ib    ; n/a     ; evex m:3 p:1 l:x w:1 0x03 /r ib         ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R|R
VPERMILPS         ; Vfv{K}{z},Wfv|B32,Ib        ; n/a     ; evex m:3 p:1 l:x w:0 0x04 /r ib         ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VPERMILPD         ; Vfv{K}{z},Wfv|B64,Ib        ; n/a     ; evex m:3 p:1 l:x w:1 0x05 /r ib         ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:W|R|R|R
VRNDSCALEPH       ; Vfv{K}{z},Wfv|B16{sae},Ib   ; n/a     ; evex m:3 p:0 l:x w:0 0x08 /r ib         ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R|R
VRNDSCALEPS       ; Vfv{K}{z},Wfv|B32{sae},Ib   ; n/a     ; evex m:3 p:1 l:x w:0 0x08 /r ib         ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VRNDSCALEPD       ; Vfv{K}{z},Wfv|B64{sae},Ib   ; n/a     ; evex m:3 p:1 l:x w:1 0x09 /r ib         ; s:AVX512F, t:AVX512, l:fv, e:E2, w:W|R|R|R
VRNDSCALESH       ; Vdq{K}{z},Hdq,Wsh{sae},Ib   ; n/a     ; evex m:3 p:0 l:i w:0 0x0A /r ib         ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R|R
VRNDSCALESS       ; Vdq{K}{z},Hdq,Wss{sae},Ib   ; n/a     ; evex m:3 p:1 l:i w:0 0x0A /r ib         ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R|R
VRNDSCALESD       ; Vdq{K}{z},Hdq,Wsd{sae},Ib   ; n/a     ; evex m:3 p:1 l:i w:1 0x0B /r ib         ; s:AVX512F, t:AVX512, l:t1s, e:E3, w:W|R|R|R|R
VPALIGNR          ; Vfv{K}{z},Hfv,Wfv,Ib        ; n/a     ; evex m:3 p:1 l:x w:i 0x0F /r ib         ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R|R

# 0x10 - 0x1F
VPEXTRB           ; Mb,Vdq,Ib                   ; n/a     ; evex m:3 p:1 l:0 w:i 0x14 /r:mem ib     ; s:AVX512BW, t:AVX512, l:t1s8, e:E9NF, w:W|R|R
VPEXTRB           ; Ry,Vdq,Ib                   ; n/a     ; evex m:3 p:1 l:0 w:i 0x14 /r:reg ib     ; s:AVX512BW, t:AVX512, l:t1s8, e:E9NF, w:W|R|R, a:D64
VPEXTRW           ; Mw,Vdq,Ib                   ; n/a     ; evex m:3 p:1 l:0 w:i 0x15 /r:mem ib     ; s:AVX512BW, t:AVX512, l:t1s16, e:E9NF, w:W|R|R
