#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x10 - 0x1F
VCVTSH2SS         ; Vdq{K}{z},Hdq,Wsh{sae}      ; n/a     ; evex m:6 p:0 l:i w:0 0x13 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R
VCVTPH2PSX        ; Vfv{K}{z},Whv|B16{sae}      ; n/a     ; evex m:6 p:1 l:x w:0 0x13 /r            ; s:AVX512FP16, t:AVX512FP16, l:hv, e:E2, w:W|R|R

# 0x20 - 0x2F
VSCALEFPH         ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0x2C /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R|R
VSCALEFSH         ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0x2D /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R

# 0x40 - 0x4F
VGETEXPPH         ; Vfv{K}{z},Wfv|B16{sae}      ; n/a     ; evex m:6 p:1 l:x w:0 0x42 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R
VGETEXPSH         ; Vdq{K}{z},Hdq,Wsh{sae}      ; n/a     ; evex m:6 p:1 l:i w:0 0x43 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R
VRCPPH            ; Vfv{K}{z},Wfv|B16           ; n/a     ; evex m:6 p:1 l:x w:0 0x4C /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E4, w:W|R|R
VRCPSH            ; Vdq{K}{z},Hdq,Wsh           ; n/a     ; evex m:6 p:1 l:i w:0 0x4D /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E10, w:W|R|R|R
VRSQRTPH          ; Vfv{K}{z},Wfv|B16           ; n/a     ; evex m:6 p:1 l:x w:0 0x4E /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E4, w:W|R|R
VRSQRTSH          ; Vdq{K}{z},Hdq,Wsh           ; n/a     ; evex m:6 p:1 l:i w:0 0x4F /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E10, w:W|R|R|R

# 0x50 - 0x5F
VFMADDCPH         ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:6 p:2 l:x w:0 0x56 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E4S, w:RW|R|R|R
VFCMADDCPH        ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:6 p:3 l:x w:0 0x56 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E4S, w:RW|R|R|R
VFMADDCSH         ; Vdq{K}{z},Hdq,Wd{er}        ; n/a     ; evex m:6 p:2 l:i w:0 0x57 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s, e:E10S, w:RW|R|R|R
VFCMADDCSH        ; Vdq{K}{z},Hdq,Wd{er}        ; n/a     ; evex m:6 p:3 l:i w:0 0x57 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s, e:E10S, w:RW|R|R|R

# 0x90 - 0x9F
VFMADDSUB132PH    ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0x96 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD132PH    ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0x97 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMADD132PH       ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0x98 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMADD132SH       ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0x99 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFMSUB132PH       ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0x9A /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMSUB132SH       ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0x9B /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFNMADD132PH      ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0x9C /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFNMADD132SH      ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0x9D /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFNMSUB132PH      ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0x9E /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFNMSUB132SH      ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0x9F /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R

# 0xA0 - 0xAF
VFMADDSUB213PH    ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xA6 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD213PH    ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xA7 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMADD213PH       ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xA8 /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
VFMADD213SH       ; Vdq{K}{z},Hdq,Wsh{er}       ; n/a     ; evex m:6 p:1 l:i w:0 0xA9 /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:RW|R|R|R
VFMSUB213PH       ; Vfv{K}{z},Hfv,Wfv|B16{er}   ; n/a     ; evex m:6 p:1 l:x w:0 0xAA /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:RW|R|R|R
