#
# Copyright (c) 2024 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# ADD
ADD             ; Eb,Gb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x00 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
ADD             ; Ev,Gv         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x01 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD             ; Ev,Gv         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x01 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD             ; Gb,Eb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x02 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
ADD             ; Gv,Ev         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x03 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD             ; Gv,Ev         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x03 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD             ; Eb,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x80 /0 ib        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
ADD             ; Ev,Iz         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x81 /0 iz        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD             ; Ev,Iz         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x81 /0 iz        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x83 /0 ib        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0x83 /0 ib        ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH, a:SCALABLE
ADD{NF}         ; Eb,Gb         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x00 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT
ADD{NF}         ; Ev,Gv         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x01 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{NF}         ; Ev,Gv         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0x01 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ADD{NF}         ; Gb,Eb         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0x02 /r           ; s:APX_F, t:ARITH, w:RW|R,     v:legacy, e:APX_EVEX_INT
