#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x10 - 0x1F
VMOVSH            ; Vdq{K}{z},Wsh               ;         ; evex m:5 p:2 l:i w:0 0x10 /r:mem        ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E5, w:W|R|R
VMOVSH            ; Vdq{K}{z},Hdq,Wsh           ;         ; evex m:5 p:2 l:i w:0 0x10 /r:reg        ; s:AVX512FP16, t:AVX512FP16, e:E5, w:W|R|R|R
VMOVSH            ; Wsh{K},Vdq                  ;         ; evex m:5 p:2 l:i w:0 0x11 /r:mem        ; s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E5, w:W|R|R
VMOVSH            ; Wsh{K}{z},Hdq,Vdq           ;         ; evex m:5 p:2 l:i w:0 0x11 /r:reg        ; s:AVX512FP16, t:AVX512FP16, e:E5, w:W|R|R|R
VCVTBIASPH2HF8    ; Vhv{K}{z},Hfv,Wfv|B16       ;         ; evex m:5 p:0 l:x w:0 0x18 /r            ; s:AVX102,     t:AVX10CONVERT, l:fv, e:E4NF, w:W|R|R|R
VCVTNEPH2HF8      ; Vhv{K}{z},Wfv|B16           ;         ; evex m:5 p:2 l:x w:0 0x18 /r            ; s:AVX102,     t:AVX10CONVERT, l:fv, e:E4NF, w:W|R|R
VCVTNE2PH2HF8     ; Vfv{K}{z},Hfv,Wfv|B16       ;         ; evex m:5 p:3 l:x w:0 0x18 /r            ; s:AVX102,     t:AVX10CONVERT, l:fv, e:E4NF, w:W|R|R|R
VCVTBIASPH2HF8S   ; Vhv{K}{z},Hfv,Wfv|B16       ;         ; evex m:5 p:0 l:x w:0 0x1B /r            ; s:AVX102,     t:AVX10CONVERT, l:fv, e:E4NF, w:W|R|R|R
VCVTNEPH2HF8S     ; Vhv{K}{z},Wfv|B16           ;         ; evex m:5 p:2 l:x w:0 0x1B /r            ; s:AVX102,     t:AVX10CONVERT, l:fv, e:E4NF, w:W|R|R
VCVTNE2PH2HF8S    ; Vfv{K}{z},Hfv,Wfv|B16       ;         ; evex m:5 p:3 l:x w:0 0x1B /r            ; s:AVX102,     t:AVX10CONVERT, l:fv, e:E4NF, w:W|R|R|R
VCVTPS2PHX        ; Vhv{K}{z},Wfv|B32{er}       ;         ; evex m:5 p:1 l:x w:0 0x1D /r            ; s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R
VCVTSS2SH         ; Vdq{K}{z},Hdq,Wss{er}       ;         ; evex m:5 p:0 l:i w:0 0x1D /r            ; s:AVX512FP16, t:AVX512FP16, l:t1s, e:E3, w:W|R|R|R
VCVTHF82PH        ; Vfv{K}{z},Whv               ;         ; evex m:5 p:3 l:x w:0 0x1E /r            ; s:AVX102,     t:AVX10CONVERT, l:hv, e:E2, w:W|R|R

# 0x20 - 0x2F
