#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0xD8 FPU instructions, mod mem
FADD         ; ST(0),Mfd   ; X87STATUS                 ;  0xD8 /0:mem        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FMUL         ; ST(0),Mfd   ; X87STATUS                 ;  0xD8 /1:mem        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FCOM         ; ST(0),Mfd   ; X87STATUS                 ;  0xD8 /2:mem        ; s:X87, t:X87_ALU, w:R|R|W, u:C0=m|C1=0|C2=m|C3=m
FCOMP        ; ST(0),Mfd   ; X87STATUS                 ;  0xD8 /3:mem        ; s:X87, t:X87_ALU, w:R|R|W, u:C0=m|C1=0|C2=m|C3=m
FSUB         ; ST(0),Mfd   ; X87STATUS                 ;  0xD8 /4:mem        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FSUBR        ; ST(0),Mfd   ; X87STATUS                 ;  0xD8 /5:mem        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FDIV         ; ST(0),Mfd   ; X87STATUS                 ;  0xD8 /6:mem        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FDIVR        ; ST(0),Mfd   ; X87STATUS                 ;  0xD8 /7:mem        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FADD         ; ST(0),ST(i) ; X87STATUS                 ;  0xD8 /0:reg        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FMUL         ; ST(0),ST(i) ; X87STATUS                 ;  0xD8 /1:reg        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FCOM         ; ST(0),ST(i) ; X87STATUS                 ;  0xD8 /2:reg        ; s:X87, t:X87_ALU, w:R|R|W, u:C0=m|C1=0|C2=m|C3=m
FCOMP        ; ST(0),ST(i) ; X87STATUS                 ;  0xD8 /3:reg        ; s:X87, t:X87_ALU, w:R|R|W, u:C0=m|C1=0|C2=m|C3=m
FSUB         ; ST(0),ST(i) ; X87STATUS                 ;  0xD8 /4:reg        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
FSUBR        ; ST(0),ST(i) ; X87STATUS                 ;  0xD8 /5:reg        ; s:X87, t:X87_ALU, w:RW|R|W, u:C1=m
