#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F

# 0x10 - 0x1F
VMOVUPS           ; Vx,Wx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x10 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMOVUPD           ; Vx,Wx               ; n/a             ;  vex m:1 p:1 l:x w:i 0x10 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMOVSS            ; Vdq,Hdq,Uss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x10 /r:reg      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSS            ; Vdq,Md              ; n/a             ;  vex m:1 p:2 l:i w:i 0x10 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVSD            ; Vdq,Hdq,Usd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x10 /r:reg      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSD            ; Vdq,Mq              ; n/a             ;  vex m:1 p:3 l:i w:i 0x10 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVUPS           ; Wx,Vx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x11 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMOVUPD           ; Wx,Vx               ; n/a             ;  vex m:1 p:1 l:x w:i 0x11 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMOVSS            ; Uss,Hss,Vss         ; n/a             ;  vex m:1 p:2 l:i w:i 0x11 /r:reg      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSS            ; Md,Vss              ; n/a             ;  vex m:1 p:2 l:i w:i 0x11 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVSD            ; Usd,Hsd,Vsd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x11 /r:reg      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSD            ; Mq,Vsd              ; n/a             ;  vex m:1 p:3 l:i w:i 0x11 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVLPS           ; Vdq,Hdq,Mq          ; n/a             ;  vex m:1 p:0 l:0 w:i 0x12 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVHLPS          ; Vdq,Hdq,Udq         ; n/a             ;  vex m:1 p:0 l:0 w:i 0x12 /r:reg      ; s:AVX, t:AVX, w:W|R|R, e:7
VMOVLPD           ; Vdq,Hdq,Mq          ; n/a             ;  vex m:1 p:1 l:0 w:i 0x12 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSLDUP         ; Vx,Wx               ; n/a             ;  vex m:1 p:2 l:x w:i 0x12 /r          ; s:AVX, t:AVX, w:W|R, e:4
VMOVDDUP          ; Vdq,Wq              ; n/a             ;  vex m:1 p:3 l:0 w:i 0x12 /r          ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVDDUP          ; Vqq,Wqq             ; n/a             ;  vex m:1 p:3 l:1 w:i 0x12 /r          ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVLPS           ; Mq,Vdq              ; n/a             ;  vex m:1 p:0 l:0 w:i 0x13 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVLPD           ; Mq,Vdq              ; n/a             ;  vex m:1 p:1 l:0 w:i 0x13 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VUNPCKLPS         ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:0 l:x w:i 0x14 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VUNPCKLPD         ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x14 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VUNPCKHPS         ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:0 l:x w:i 0x15 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
