#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F

# 0x10 - 0x1F
VMOVUPS           ; Vx,Wx               ;                 ;  vex m:1 p:0 l:x w:i 0x10 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMOVUPD           ; Vx,Wx               ;                 ;  vex m:1 p:1 l:x w:i 0x10 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMOVSS            ; Vdq,Hdq,Uss         ;                 ;  vex m:1 p:2 l:i w:i 0x10 /r:reg      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSS            ; Vdq,Md              ;                 ;  vex m:1 p:2 l:i w:i 0x10 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVSD            ; Vdq,Hdq,Usd         ;                 ;  vex m:1 p:3 l:i w:i 0x10 /r:reg      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSD            ; Vdq,Mq              ;                 ;  vex m:1 p:3 l:i w:i 0x10 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVUPS           ; Wx,Vx               ;                 ;  vex m:1 p:0 l:x w:i 0x11 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMOVUPD           ; Wx,Vx               ;                 ;  vex m:1 p:1 l:x w:i 0x11 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMOVSS            ; Uss,Hss,Vss         ;                 ;  vex m:1 p:2 l:i w:i 0x11 /r:reg      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSS            ; Md,Vss              ;                 ;  vex m:1 p:2 l:i w:i 0x11 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVSD            ; Usd,Hsd,Vsd         ;                 ;  vex m:1 p:3 l:i w:i 0x11 /r:reg      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSD            ; Mq,Vsd              ;                 ;  vex m:1 p:3 l:i w:i 0x11 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVLPS           ; Vdq,Hdq,Mq          ;                 ;  vex m:1 p:0 l:0 w:i 0x12 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVHLPS          ; Vdq,Hdq,Udq         ;                 ;  vex m:1 p:0 l:0 w:i 0x12 /r:reg      ; s:AVX, t:AVX, w:W|R|R, e:7
VMOVLPD           ; Vdq,Hdq,Mq          ;                 ;  vex m:1 p:1 l:0 w:i 0x12 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSLDUP         ; Vx,Wx               ;                 ;  vex m:1 p:2 l:x w:i 0x12 /r          ; s:AVX, t:AVX, w:W|R, e:4
VMOVDDUP          ; Vdq,Wq              ;                 ;  vex m:1 p:3 l:0 w:i 0x12 /r          ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVDDUP          ; Vqq,Wqq             ;                 ;  vex m:1 p:3 l:1 w:i 0x12 /r          ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVLPS           ; Mq,Vdq              ;                 ;  vex m:1 p:0 l:0 w:i 0x13 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVLPD           ; Mq,Vdq              ;                 ;  vex m:1 p:1 l:0 w:i 0x13 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VUNPCKLPS         ; Vx,Hx,Wx            ;                 ;  vex m:1 p:0 l:x w:i 0x14 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VUNPCKLPD         ; Vx,Hx,Wx            ;                 ;  vex m:1 p:1 l:x w:i 0x14 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VUNPCKHPS         ; Vx,Hx,Wx            ;                 ;  vex m:1 p:0 l:x w:i 0x15 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VUNPCKHPD         ; Vx,Hx,Wx            ;                 ;  vex m:1 p:1 l:x w:i 0x15 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VMOVHPS           ; Vdq,Hdq,Mq          ;                 ;  vex m:1 p:0 l:0 w:i 0x16 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVLHPS          ; Vdq,Hdq,Udq         ;                 ;  vex m:1 p:0 l:0 w:i 0x16 /r:reg      ; s:AVX, t:AVX, w:W|R|R, e:7
VMOVHPD           ; Vdq,Hdq,Mq          ;                 ;  vex m:1 p:1 l:0 w:i 0x16 /r:mem      ; s:AVX, t:DATAXFER, w:W|R|R, e:5
VMOVSHDUP         ; Vx,Wx               ;                 ;  vex m:1 p:2 l:x w:i 0x16 /r          ; s:AVX, t:AVX, w:W|R, e:4
VMOVHPS           ; Mq,Vdq              ;                 ;  vex m:1 p:0 l:0 w:i 0x17 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVHPD           ; Mq,Vdq              ;                 ;  vex m:1 p:1 l:0 w:i 0x17 /r:mem      ; s:AVX, t:DATAXFER, w:W|R, e:5

# 0x20 - 0x2F
VMOVAPS           ; Vx,Wx               ;                 ;  vex m:1 p:0 l:x w:i 0x28 /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPD           ; Vx,Wx               ;                 ;  vex m:1 p:1 l:x w:i 0x28 /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPS           ; Wx,Vx               ;                 ;  vex m:1 p:0 l:x w:i 0x29 /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VMOVAPD           ; Wx,Vx               ;                 ;  vex m:1 p:1 l:x w:i 0x29 /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VCVTSI2SS         ; Vss,Hss,Ey          ;                 ;  vex m:1 p:2 l:i w:x 0x2A /r          ; s:AVX, t:CONVERT, w:W|R|R, e:3, a:IWO64
