#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPERMQ            ; Vqq,Wqq,Ib          ;                 ;  vex m:3 p:1 l:1 w:1 0x00 /r ib       ; s:AVX2, t:AVX2, w:W|R|R, e:4
VPERMPD           ; Vqq,Wqq,Ib          ;                 ;  vex m:3 p:1 l:1 w:1 0x01 /r ib       ; s:AVX2, t:AVX2, w:W|R|R, e:4
VPBLENDD          ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:0 0x02 /r ib       ; s:AVX2, t:AVX2, w:W|R|R|R, e:4
VPERMILPS         ; Vx,Wx,Ib            ;                 ;  vex m:3 p:1 l:x w:0 0x04 /r ib       ; s:AVX, t:AVX, w:W|R|R, e:4
VPERMILPD         ; Vx,Wx,Ib            ;                 ;  vex m:3 p:1 l:x w:0 0x05 /r ib       ; s:AVX, t:AVX, w:W|R|R, e:4
VPERM2F128        ; Vqq,Hqq,Wqq,Ib      ;                 ;  vex m:3 p:1 l:1 w:0 0x06 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:4
VROUNDPS          ; Vx,Wx,Ib            ;                 ;  vex m:3 p:1 l:x w:i 0x08 /r ib       ; s:AVX, t:AVX, w:W|R|R, e:2, x:IE|PE
VROUNDPD          ; Vx,Wx,Ib            ;                 ;  vex m:3 p:1 l:x w:i 0x09 /r ib       ; s:AVX, t:AVX, w:W|R|R, e:2, x:IE|PE
VROUNDSS          ; Vss,Hss,Wss,Ib      ;                 ;  vex m:3 p:1 l:i w:i 0x0A /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:3, x:IE|PE
VROUNDSD          ; Vsd,Hsd,Wsd,Ib      ;                 ;  vex m:3 p:1 l:i w:i 0x0B /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:3, x:IE|PE
VBLENDPS          ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:i 0x0C /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:4
VBLENDPD          ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:i 0x0D /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:4
VPBLENDW          ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:i 0x0E /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:4
VPALIGNR          ; Vx,Hx,Wx,Ib         ;                 ;  vex m:3 p:1 l:x w:i 0x0F /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:4

# 0x10 - 0x1F
VPEXTRB           ; Mb,Vdq,Ib           ;                 ;  vex m:3 p:1 l:0 w:i 0x14 /r:mem ib   ; s:AVX, t:AVX, w:W|R|R, e:5
