#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# XOP.mmmmm = 8

# 0x00 - 0x0F

# 0x10 - 0x1F

# 0x20 - 0x2F

# 0x30 - 0x3F

# 0x40 - 0x4F

# 0x50 - 0x5F

# 0x60 - 0x6F

# 0x70 - 0x7F

# 0x80 - 0x8F
VPMACSSWW         ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x85 /r is4      ; s:XOP, t:XOP, w:W|R|R|R
VPMACSSWD         ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x86 /r is4      ; s:XOP, t:XOP, w:W|R|R|R
VPMACSSDQL        ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x87 /r is4      ; s:XOP, t:XOP, w:W|R|R|R
VPMACSSDD         ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x8E /r is4      ; s:XOP, t:XOP, w:W|R|R|R
VPMACSSDQH        ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x8F /r is4      ; s:XOP, t:XOP, w:W|R|R|R

# 0x90 - 0x9F
VPMACSWW          ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x95 /r is4      ; s:XOP, t:XOP, w:W|R|R|R
VPMACSWD          ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x96 /r is4      ; s:XOP, t:XOP, w:W|R|R|R
VPMACSDQL         ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x97 /r is4      ; s:XOP, t:XOP, w:W|R|R|R
VPMACSDD          ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x9E /r is4      ; s:XOP, t:XOP, w:W|R|R|R
VPMACSDQH         ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0x9F /r is4      ; s:XOP, t:XOP, w:W|R|R|R

# 0xA0 - 0xAF
VPCMOV            ; Vx,Hx,Wx,Lx         ; n/a         ;  xop m:8 w:0 0xA2 /r is4  ; s:XOP, t:XOP, w:W|R|R|R
VPCMOV            ; Vx,Hx,Lx,Wx         ; n/a         ;  xop m:8 w:1 0xA2 /r is4  ; s:XOP, t:XOP, w:W|R|R|R
VPPERM            ; Vx,Hx,Wx,Lx         ; n/a         ;  xop m:8 w:0 0xA3 /r is4  ; s:XOP, t:XOP, w:W|R|R|R
VPPERM            ; Vx,Hx,Lx,Wx         ; n/a         ;  xop m:8 w:1 0xA3 /r is4  ; s:XOP, t:XOP, w:W|R|R|R
VPMADCSSWD        ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0xA6 /r is4      ; s:XOP, t:XOP, w:W|R|R|R

# 0xB0 - 0xBF
VPMADCSWD         ; Vdq,Hdq,Wdq,Ldq     ; n/a         ;  xop m:8 0xB6 /r is4      ; s:XOP, t:XOP, w:W|R|R|R

# 0xC0 - 0xCF
VPROTB            ; Vdq,Wdq,Ib          ; n/a         ;  xop m:8 0xC0 /r ib       ; s:XOP, t:XOP, w:W|R|R
VPROTW            ; Vdq,Wdq,Ib          ; n/a         ;  xop m:8 0xC1 /r ib       ; s:XOP, t:XOP, w:W|R|R
VPROTD            ; Vdq,Wdq,Ib          ; n/a         ;  xop m:8 0xC2 /r ib       ; s:XOP, t:XOP, w:W|R|R
VPROTQ            ; Vdq,Wdq,Ib          ; n/a         ;  xop m:8 0xC3 /r ib       ; s:XOP, t:XOP, w:W|R|R
